contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group
NBA SuperSat to NFL $555 Fantasy Football Millionaire [2x],75350,Classic,154303283,137,1,1110,Wed 7:00PM,0,9,95941
NBA Satellite to NBA MEGA Millionaire (11-29),305250,Classic,154303275,555,1,2500,Wed 7:00PM,0,5,95941
NBA Satellite to NBA MEGA Millionaire (11-29),137500,Classic,154303276,250,1,2500,Wed 7:00PM,0,11,95941
NBA Satellite to NBA MEGA Millionaire (11-29),61050,Classic,154303277,111,1,2500,Wed 7:00PM,3,25,95941
NBA Satellite to NBA MEGA Millionaire (11-29),23100,Classic,154303278,42,2,2500,Wed 7:00PM,5,69,95941
NBA Satellite to NBA MEGA Millionaire (11-29),15950,Classic,154303279,29,3,2500,Wed 7:00PM,6,100,95941
NBA Satellite to NBA MEGA Millionaire (11-29),7700,Classic,154303280,14,6,2500,Wed 7:00PM,7,210,95941
NBA Satellite to NBA $1M MEGA 8's Special,2750,Classic,154303285,5,6,888,Wed 7:00PM,7,211,95941
NBA Satellite to NBA $1M MEGA 8's Special,2750,Classic,154303284,5,6,888,Wed 7:00PM,6,211,95941
NBA Satellite to NBA $1M MEGA 8's Special,13750,Classic,154303286,25,1,888,Wed 7:00PM,2,41,95941
NBA Satellite to NBA $1M MEGA 8's Special,8250,Classic,154303306,15,2,888,Wed 7:00PM,4,69,95941
NBA Satellite to NBA $1M MEGA 8's Special,5500,Classic,154303307,10,3,888,Wed 7:00PM,6,104,95941
NBA Satellite to 12-12 NHL $888 Abominable Snowman,8250,Classic,154303312,15,2,888,Wed 7:00PM,2,69,95941
NBA Satellite to NFL $555 Fantasy Football Millionaire,12100,Classic,154303281,22,1,555,Wed 7:00PM,2,29,95941
NBA Satellite to NAS 2-18 Screaming Eagle,3300,Classic,154303308,6,2,500,Wed 7:00PM,0,98,95941
NBA Tiers $750 Pick and Roll [Single Entry],6600,Tiers,154290628,12,1,750,Wed 7:00PM,0,73,95943
NBA Tiers $1.5K Quarter Jukebox [Just $0.25!],138,Tiers,154290627,0,20,1500,Wed 7:00PM,206,7134,95943
NBA Tiers $1K Ankle Breaker [Single Entry],27500,Tiers,154290624,50,1,1000,Wed 7:00PM,0,22,95943
NBA Tiers $500 Fast Break,14850,Tiers,154290625,27,1,500,Wed 7:00PM,0,21,95943
"NBA Tiers Satellite to $4,494 NFL Showdown MEGA Millionaire (11-20) [Must Fill]",872850,Tiers,154301590,1587,1,4494,Wed 7:00PM,0,3,95943
NBA Satellite to NBA $1M MEGA 8's Special,24750,Classic,154303287,45,1,888,Wed 7:00PM,2,23,95941
NBA Satellite to NBA $1M MEGA 8's Special,49500,Classic,154303288,90,1,888,Wed 7:00PM,0,11,95941
NBA Satellite to 12-12 NHL $888 Abominable Snowman,24750,Classic,154303313,45,1,888,Wed 7:00PM,1,23,95941
NBA Satellite to $850 FBWC Qualifier,50600,Classic,154303297,92,1,850,Wed 7:00PM,0,10,95941
NBA Satellite to NFL $555 Fantasy Football Millionaire,49500,Classic,154303282,90,1,555,Wed 7:00PM,0,7,95941
NBA Single Entry $5 Double Up (Night),2750,Classic,154290691,5,1,1000,Wed 10:00PM,3,229,95949
NBA Single Entry $25 Double Up (Night),13750,Classic,154290689,25,1,2000,Wed 10:00PM,2,91,95949
NBA Single Entry $10 Double Up (Night),5500,Classic,154290690,10,1,1000,Wed 10:00PM,2,114,95949
NBA Satellite to NBA MEGA Millionaire (11-29) (Night),137500,Classic,154301148,250,1,2500,Wed 10:00PM,0,11,95949
NBA Satellite to NBA MEGA Millionaire (11-29) (Night),15950,Classic,154301149,29,3,2500,Wed 10:00PM,0,100,95949
NBA Satellite to NBA $1M MEGA 8's Special (Night),8250,Classic,154301158,15,2,888,Wed 10:00PM,0,69,95949
NBA $4K Ankle Breaker [2 Entry Max] (Night),27500,Classic,154290683,50,2,4000,Wed 10:00PM,0,90,95949
NBA $3K 3-Ball [Single Entry] (Night),165000,Classic,154290676,300,1,3000,Wed 10:00PM,1,11,95949
NBA $3K Quarter Jukebox [Just $0.25!] (Night),138,Classic,154290679,0,20,3000,Wed 10:00PM,159,14268,95949
NBA Satellite to NBA $1M MEGA 8's Special (Night),77000,Classic,154301150,140,1,888,Wed 10:00PM,0,7,95949
NBA Satellite to UFC 296 12-16 $555 Knockout Special,49500,Classic,154303324,90,1,555,Wed 7:00PM,0,7,95941
NBA Satellite to UFC 296 12-16 $555 Knockout Special,18700,Classic,154303325,34,1,555,Wed 7:00PM,0,19,95941
NBA Satellite to NBA $1M MEGA 8's Special,77000,Classic,154303289,140,1,888,Wed 7:00PM,0,7,95941
NBA Satellite to 12-12 NHL $888 Abominable Snowman,77000,Classic,154303314,140,1,888,Wed 7:00PM,0,7,95941
"NBA Satellite to $4,494 NFL Showdown MEGA Millionaire (11-20) [Must Fill]",872850,Classic,154302854,1587,1,4494,Wed 7:00PM,0,3,95941
NBA Showdown Single Entry $25 Double Up (SAC vs LAL),13750,Showdown Captain Mode,154290713,25,1,1000,Wed 10:00PM,1,45,95951
NBA Showdown Satellite to NBA MEGA Millionaire (11-29) (SAC vs LAL),137500,Showdown Captain Mode,154301237,250,1,2500,Wed 10:00PM,1,11,95951
NBA Showdown Satellite to NBA MEGA Millionaire (11-29) (SAC vs LAL),15950,Showdown Captain Mode,154301238,29,3,2500,Wed 10:00PM,0,100,95951
NBA Showdown Satellite to NBA $1M MEGA 8's Special (SAC vs LAL),8250,Showdown Captain Mode,154301247,15,2,888,Wed 10:00PM,0,69,95951
NBA Showdown $1.5K Ankle Breaker [Single Entry] (SAC vs LAL),27500,Showdown Captain Mode,154290708,50,1,1500,Wed 10:00PM,1,34,95951
NBA $750 Pick and Roll [Single Entry] (Turbo),6600,Classic,154290646,12,1,750,Wed 7:30PM,0,73,95945
NBA $1K Ankle Breaker [Single Entry] (Turbo),27500,Classic,154290643,50,1,1000,Wed 7:30PM,0,22,95945
NBA $1K Triple Threat (Turbo),18150,Classic,154290645,33,1,1000,Wed 7:30PM,0,35,95945
NBA $1K Quarter Jukebox [Just $0.25!]  (Turbo),138,Classic,154290642,0,20,1000,Wed 7:30PM,50,4756,95945
"NBA Satellite to $4,494 NFL Showdown MEGA Millionaire (11-20) [Must Fill] (Turbo)",872850,Classic,154301721,1587,1,4494,Wed 7:30PM,0,3,95945
NBA Showdown $1K Ankle Breaker [Single Entry] (DAL vs WAS),27500,Showdown Captain Mode,154290631,50,1,1000,Wed 7:00PM,1,22,95944
