Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Sam Merrill (31025438),Sam Merrill,31025438,SG/G/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,CLE,4.69
SF/PF,Kris Murray (31025446),Kris Murray,31025446,SF/PF/F/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,POR,1.31
SF,Rayan Rupert (31025450),Rayan Rupert,31025450,SF/F/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,POR,0
PF,Robert Williams (31025456),Robert Williams,31025456,PF/F/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,POR,20.08
C,Moses Brown (31025523),Moses Brown,31025523,C/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,POR,11.25
SF,Justin Minaya (31025525),Justin Minaya,31025525,SF/F/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,POR,2
PF/C,Ish Wainright (31025528),Ish Wainright,31025528,PF/C/F/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,POR,0
PG/SG,Anfernee Simons (31025532),Anfernee Simons,31025532,PG/SG/G/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,POR,31.5
C,Damian Jones (31025664),Damian Jones,31025664,C/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,CLE,3.29
PG,Craig Porter Jr. (31025666),Craig Porter Jr.,31025666,PG/G/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,CLE,8.1
SF/PF,Emoni Bates (31025669),Emoni Bates,31025669,SF/PF/F/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,CLE,6.83
PF/C,Isaiah Mobley (31025673),Isaiah Mobley,31025673,PF/C/F/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,CLE,1.25
PG/SG,Ty Jerome (31025677),Ty Jerome,31025677,PG/SG/G/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,CLE,4.62
PG,Ricky Rubio (31025681),Ricky Rubio,31025681,PG/G/UTIL,3000,CLE@POR 11/15/2023 10:00PM ET,CLE,0
SG,Josh Minott (31025453),Josh Minott,31025453,SG/G/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,MIN,2.3
PG,Saben Lee (31025489),Saben Lee,31025489,PG/G/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,PHX,5.42
C,Chimezie Metu (31025492),Chimezie Metu,31025492,C/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,PHX,2.38
C,Udoka Azubuike (31025494),Udoka Azubuike,31025494,C/UTIL,3000,MIN@PHX 11/15/2023 09:00PM ET,PHX,3.5
